Consult,AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
8,Gemini 1.5 pro,Google,0.17167381974248927,0.10416666666666667,0.4878048780487805,0.01731601731601732,0.010471204188481676,0.05,0.11158798283261802,0.06770833333333333,0.3170731707317073,-0.2437620759010315,0.1025337278842926,-0.07501937448978424,204,39
8,Gemini 1.5 pro,Kaldi_NL,0.19323671497584544,0.12048192771084337,0.4878048780487805,0.00975609756097561,0.006060606060606061,0.025,0.10628019323671499,0.06626506024096386,0.2682926829268293,-0.20134615898132324,0.10689019411802292,-0.05037078633904457,182,39
9,GPT 3.5 Turbo,Whisper,0.1592920353982301,0.0962566844919786,0.46153846153846156,0.026785714285714284,0.016129032258064516,0.07894736842105263,0.12389380530973448,0.0748663101604278,0.358974358974359,-0.20058099925518036,0.039756495505571365,-0.08162102848291397,204,38
9,GPT 3.5 Turbo,Speechmatics,0.1673640167364017,0.1,0.5128205128205128,0.03375527426160337,0.020100502512562814,0.10526315789473684,0.11715481171548119,0.07,0.358974358974359,-0.2053583711385727,0.08112668246030807,-0.0645873174071312,212,38
9,GPT 3.5 Turbo,Google,0.21390374331550804,0.13513513513513514,0.5128205128205128,0.04324324324324324,0.027210884353741496,0.10526315789473684,0.16042780748663102,0.10135135135135136,0.38461538461538464,-0.120088592171669,0.13323558866977692,0.004952037241309881,162,38
9,GPT 3.5 Turbo,Kaldi_NL,0.23076923076923075,0.14685314685314685,0.5384615384615384,0.05555555555555555,0.035211267605633804,0.13157894736842105,0.14285714285714288,0.09090909090909091,0.3333333333333333,-0.1262335628271103,0.07924805581569672,-0.023970868438482285,154,38
9,Gemini 1.5 pro,Whisper,0.17467248908296942,0.10526315789473684,0.5128205128205128,0.01762114537444934,0.010582010582010581,0.05263157894736842,0.1222707423580786,0.07368421052631578,0.358974358974359,-0.24538932740688324,0.05526801571249962,-0.09793569892644882,207,38
9,Gemini 1.5 pro,Speechmatics,0.20087336244541484,0.12105263157894737,0.5897435897435898,0.02643171806167401,0.015873015873015872,0.07894736842105263,0.1222707423580786,0.07368421052631578,0.358974358974359,-0.22014473378658295,0.15992231667041779,-0.03577954322099686,202,38
9,Gemini 1.5 pro,Google,0.21674876847290642,0.13414634146341464,0.5641025641025641,0.01990049751243781,0.012269938650306749,0.05263157894736842,0.12807881773399013,0.07926829268292683,0.3333333333333333,-0.2171003669500351,0.07866617292165756,-0.07195992767810822,174,38
9,Gemini 1.5 pro,Kaldi_NL,0.16194331983805668,0.09615384615384616,0.5128205128205128,0.008163265306122448,0.004830917874396135,0.02631578947368421,0.10526315789473684,0.0625,0.3333333333333333,-0.23644407093524933,0.04785890504717827,-0.09667526185512543,217,38
10,GPT 3.5 Turbo,Whisper,0.2028985507246377,0.12727272727272726,0.5,0.05853658536585365,0.036585365853658534,0.14634146341463414,0.15458937198067632,0.09696969696969697,0.38095238095238093,-0.2006867676973343,0.014564954675734043,-0.09366808831691742,175,41
10,GPT 3.5 Turbo,Speechmatics,0.23232323232323232,0.14743589743589744,0.5476190476190477,0.05102040816326531,0.03225806451612903,0.12195121951219512,0.18181818181818182,0.11538461538461539,0.42857142857142855,-0.1653815507888794,0.09905307739973068,-0.03504002466797829,170,41
10,GPT 3.5 Turbo,Google,0.20512820512820512,0.125,0.5714285714285714,0.06034482758620689,0.03664921465968586,0.17073170731707318,0.1452991452991453,0.08854166666666667,0.40476190476190477,-0.21440550684928894,0.06369832903146744,-0.07757167518138885,199,41
10,GPT 3.5 Turbo,Kaldi_NL,0.2176165803108808,0.1390728476821192,0.5,0.06282722513089005,0.04,0.14634146341463414,0.1761658031088083,0.11258278145695365,0.40476190476190477,-0.17163796722888947,0.07233981788158417,-0.05097857490181923,158,41
10,Gemini 1.5 pro,Whisper,0.21238938053097342,0.13043478260869565,0.5714285714285714,0.05357142857142857,0.03278688524590164,0.14634146341463414,0.1592920353982301,0.09782608695652174,0.42857142857142855,-0.23072360455989838,0.0658319965004921,-0.08520350605249405,193,41
10,Gemini 1.5 pro,Speechmatics,0.23469387755102042,0.14935064935064934,0.5476190476190477,0.08247422680412371,0.05228758169934641,0.1951219512195122,0.1836734693877551,0.11688311688311688,0.42857142857142855,-0.22314664721488953,0.03748558461666107,-0.09454993158578873,160,41
10,Gemini 1.5 pro,Google,0.24120603015075376,0.15286624203821655,0.5714285714285714,0.08121827411167513,0.05128205128205128,0.1951219512195122,0.16080402010050254,0.10191082802547771,0.38095238095238093,-0.22689425945281982,0.10077890008687973,-0.06682318449020386,158,41
10,Gemini 1.5 pro,Kaldi_NL,0.24277456647398846,0.16030534351145037,0.5,0.058479532163742694,0.038461538461538464,0.12195121951219512,0.18497109826589597,0.12213740458015267,0.38095238095238093,-0.20093828439712524,0.048779651522636414,-0.07752823084592819,132,41
